beruf,isco_code,beschaeftigte_1000,frauen_pct,branche,lohn_median_chf,qualifikation,esco_uri,esco_titel,esco_beschreibung,score_gesamt,score_digital,score_wiederholbarkeit,score_physisch,score_kreativitaet,score_sozial,haupt_risiko,zeitrahmen,begruendung,delta_branche,delta_lohn,score_ch,adaptabilitaet,beschreibung_hash,lohnklasse
Steuerberater/in,2412,12.0,42.0,Finanzen,120000,Tertiär,http://data.europa.eu/esco/occupation/50760da6-abc3-424c-b159-8ddf0818e016,Unternehmensbewerter/Unternehmensbewerterin,"Unternehmensbewerter/Unternehmensbewerterinnen bewerten Unternehmen, Unternehmensteile, Aktien, andere Wertpapiere und immaterielle Vermögenswerte, um ihre Kunden beim Treffen strategischer Entscheidungen wie Fusionen und Übernahmen, Rechtsstreitigkeiten, Insolvenz, Einhaltung von Steuervorschriften und Unternehmensumstrukturierung zu unterstützen.",6.4,9.0,6.5,8.0,4.0,3.5,"Automatisierung von Datenerhebung, Finanzkennzahlenanalyse, DCF-Modellierungen und Vergleichswertanalysen (Peer-Group-Analysen); KI kann Bewertungsmodelle schneller und konsistenter durchrechnen als menschliche Analysten",3-5 Jahre,"In der Schweiz sind Unternehmensbewertungen stark reguliert (MWSTG, Rundschreiben der ESTV) und erfordern tiefes Kontextwissen zu Steuerrecht und Gesellschaftsrecht, was kurzfristige Vollautomatisierung bremst. KI-Tools wie spezialisierte LLMs und automatisierte Finanzmodellierungs-Plattformen werden jedoch zunehmend Routineaufgaben wie Datenaggregation, Benchmarking und Berichtserstellung übernehmen, während die strategische Beurteilung und Mandantenkommunikation menschlich bleiben. Der hybride Einsatz von KI als Unterstützungswerkzeug wird die Produktivität stark steigern, aber eher zu einer Transformation als zur vollständigen Substitution des Berufs führen.",0.3,0.2,6.9,8.4,65f50b0d578f,100k–150k CHF
Zugbegleiter/in / Lokführer/in,8311,12.0,18.0,Transport,80000,Sekundär II,http://data.europa.eu/esco/occupation/ea034d66-0d35-4891-b82c-6434cad2c76f,Zugbegleiter/Zugbegleiterin,"Zugbegleiter unterstützen die Fahrgäste beim Ein- und Aussteigen. Sie beantworten Fragen der Fahrgäste hinsichtlich der Regeln für den Bahnverkehr und zu Bahnhöfen und erteilen Fahrplanauskünfte. Sie kontrollieren oder verkaufen Einzel- oder Zeitfahrkarten und unterstützen den Leiter des Zugbegleiterteams bei seinen operativen Aufgaben, z. B. in Bezug auf das Schließen der Türen oder eine bestimmte operative Kommunikation. Bei technischen Zwischenfällen und Notfällen sorgen sie für ein sicheres Verhalten der Fahrgäste.",4.2,5.5,6.5,3.0,4.0,3.0,"Automatische Ticketkontrolle via App/Validator, KI-Chatbots für Fahrplanauskünfte und automatisierte Türsteuerungssysteme könnten Routineaufgaben ersetzen; bei Lokführern teilautonomes Fahren auf bestimmten Strecken (z.B. Gotthard-Basistunnel bereits teilautomatisiert)",5-10 Jahre,"Die SBB investiert bereits in automatisierte Ticketprüfsysteme und digitale Fahrgastinformation, was Teilaufgaben von Zugbegleitern reduziert. Die starke physische Präsenzpflicht im Zug, Notfallmanagement und die komplexe soziale Interaktion mit einem heterogenen Fahrgastpublikum (inkl. hilfsbedürftiger Personen) schützen den Beruf jedoch vor vollständiger Automatisierung. Für Lokführer gilt: autonomes Fahren auf Normalnetz bleibt in der Schweiz aufgrund komplexer Infrastruktur, regulatorischer Anforderungen und Gewerkschaftsverhandlungen (SEV) mittelfristig begrenzt.",0.0,0.0,4.2,4.9,ad2b616015fa,60k–100k CHF
Maler/in und Gipser/in EFZ,7131,12.0,5.0,Bau,68000,Sekundär II,http://data.europa.eu/esco/occupation/15620506-fb5d-49cd-87a2-1c9047fb406a,Maler/Malerin,"Maler streichen die Innen- und Außenwände von Gebäuden und anderen Bauwerken an. Dabei verwenden sie Standardfarben auf Latexbasis oder Spezialfarben, um Schutz- und Verschönerungswirkungen zu erzielen. Maler sind für verschiedene Anwendungen von Bürsten, Farbrollern und Farbspritzgeräten ausgebildet.",2.4,1.0,5.0,1.5,4.0,5.0,"Automatisierte Farbspritzroboter für grossflächige, gleichförmige Flächen (z.B. Industriehallen, Neubauten) könnten repetitive Streicharbeiten teilweise übernehmen; KI-gestützte Farbberatungstools reduzieren beratende Tätigkeiten marginal.",>10 Jahre,"Der Beruf ist stark physisch geprägt und erfordert Anpassungsfähigkeit an unstrukturierte Umgebungen (unregelmässige Flächen, Altbauten, Aussenwitterung), was eine vollständige Automatisierung in der Schweiz mit ihrem hohen Altbauanteil und komplexen Bausubstanz auf absehbare Zeit unwahrscheinlich macht. Robotik für Malerarbeiten existiert zwar als Forschungsthema, ist aber für die vielfältigen Einsatzszenarien im Schweizer Bau- und Renovierungsmarkt weit von einer wirtschaftlichen Marktreife entfernt. Zudem erfordert die Kundenkommunikation bezüglich Farbwahl, Oberflächenbeurteilung und Qualitätskontrolle menschliches Urteilsvermögen und Erfahrung.",0.0,0.0,2.4,3.5,ed8b451fcab6,60k–100k CHF
Hotelfachmann/-frau EFZ,5131,12.0,65.0,Gastgewerbe,58000,Sekundär II,http://data.europa.eu/esco/occupation/6ba25e0f-7fb8-4879-a1f9-d4f8945966be,Kameramann/Kamerafrau,"Kameramänner/ Kamerafrauen sind für die visuelle Interpretation des Drehbuchs und sämtliche fotografische Aspekte des Films verantwortlich, einschließlich Bildeinstellungen, Farben, Licht, Stil und Drehorte. Sie geben dem Film bzw. der Fernsehsendung ein optisches Erscheinungsbild und wählen die Drehausrüstung aus, einschließlich der Objektive und Filter. Bildgestaltende Kameramänner/-frauen leiten die Teams an, die die optischen Geräte und die Beleuchtung bedienen. Um die gewünschte Wirkung zu erzielen, arbeiten sie mit dem Film- und Fernsehregisseur/der Film- und Fernsehregisseurin zusammen.",3.2,4.5,3.0,2.5,2.0,2.5,"KI-gestützte Bildoptimierung, automatisierte Farbkorrektur und algorithmische Kameraführung bei einfachen Produktionen könnten Teilaufgaben übernehmen",>10 Jahre,"Kameramänner/-frauen üben einen stark kreativen, körperlich präsenten und kollaborativen Beruf aus, der tiefes ästhetisches Urteilsvermögen und enge Zusammenarbeit mit Regie und Team erfordert – Faktoren, die KI-Automatisierung stark begrenzen. In der Schweiz mit ihrer vielfältigen Produktionslandschaft (SRG SSR, Filmförderung, Werbebranche) bleibt der Bedarf an menschlicher visueller Interpretation hoch. Einzelne Teilbereiche wie automatisierte Belichtungssteuerung oder KI-basiertes Color Grading könnten unterstützend eingesetzt werden, ersetzen jedoch nicht die kreative Gesamtverantwortung der Bildgestaltung.",0.0,-0.2,3.0,4.0,4805524c75d6,< 60k CHF
Datenwissenschaftler/in / Data Scientist,2514,12.0,22.0,ICT,135000,Tertiär,http://data.europa.eu/esco/occupation/258e46f9-0075-4a2e-adae-1ff0477e0f30,Datenwissenschaftler/Datenwissenschaftlerin,"Datenwissenschaftler finden und interpretieren reichhaltige Datenquellen, verwalten große Datenmengen, führen Datenquellen zusammen, sorgen für die Konsistenz der Datensätze und erstellen Visualisierungen, um die Daten zu veranschaulichen. Sie erstellen anhand der Daten mathematische Modelle, präsentieren und vermitteln datenbezogene Erkenntnisse an Experten und Wissenschaftler in ihrem Team sowie ggf. an eine nicht fachkundige Öffentlichkeit und geben Empfehlungen zur Verwendung der Daten ab.",6.4,9.5,5.5,8.5,4.5,5.5,"Routinemässige Datenbereinigung, Feature Engineering, automatisierte Modellselektion (AutoML), Erstellung von Standard-Dashboards und einfache Datenvisualisierungen können bereits heute weitgehend von KI-Tools übernommen werden. Auch das Schreiben von Analyse-Code (Python/R) wird durch Copilot-ähnliche Systeme stark beschleunigt.",3-5 Jahre,"In der Schweiz sind Data Scientists stark in Finanzdienstleistungen, Pharma (Novartis, Roche) und dem Versicherungssektor tätig, wo AutoML-Plattformen und KI-gestützte Analysetools bereits eingesetzt werden. Der kreative, strategische Teil der Arbeit – Problemdefinition, Stakeholder-Kommunikation und domänenspezifische Interpretation im regulierten Umfeld (z.B. FINMA, Swissmedic) – bleibt vorerst menschlich. Die Rolle verschiebt sich eher von der Modellentwicklung hin zur KI-Orchestrierung und strategischen Beratung, was eine Transformation des Berufsbilds bedeutet, aber keine vollständige Verdrängung in den nächsten 3-5 Jahren.",-0.2,0.2,6.4,8.9,3e8b3ad2ff04,100k–150k CHF
HR-Manager/in,1212,12.0,68.0,Verwaltung,115000,Tertiär,http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,Personalberater/Personalberaterin,"Personalberater entwickeln und implementieren Strategien, die ihren Arbeitgebern dabei helfen, im jeweiligen Wirtschaftssektor angemessen qualifizierte Mitarbeiter auszuwählen und an das Unternehmen zu binden. Sie stellen Personal ein, verfassen Stellenanzeigen, führen Vorstellungsgespräche und nehmen Bewerber in die engere Wahl auf, führen Verhandlungen mit Arbeitsagenturen und legen Arbeitsbedingungen fest. Außerdem verwalten Personalberater die Löhne und Gehälter, überprüfen diese und leisten Beratung in Bezug auf Vergütung und Arbeitsrecht. Sie organisieren Weiterbildungsmöglichkeiten, um die Leistungen der Arbeitnehmer zu steigern.",5.2,7.5,5.5,6.0,5.0,2.5,"CV-Screening, Stellenanzeigenerstellung, Lohnbenchmarking und administrative HR-Prozesse (Vertragsmanagement, Gehaltsabrechnungen) können weitgehend automatisiert werden; KI-Tools wie Workday oder SAP SuccessFactors übernehmen bereits Teile der Rekrutierungsanalytik",3-5 Jahre,"In der Schweiz mit ihrem stark regulierten Arbeitsmarkt (OR, GAV, Schweizer Datenschutzgesetz) bleibt die menschliche Urteilsfähigkeit bei Compliance-Fragen und Verhandlungen zentral. Routinetätigkeiten wie Bewerberselektion und Lohnanalysen werden zunehmend von KI unterstützt oder ersetzt, während strategische HR-Funktionen und die ausgeprägte Bedeutung von persönlichem Vertrauen in der Schweizer Unternehmenskultur den Beruf schützen. Die hohe Mehrsprachigkeit (DE/FR/IT) stellt zusätzliche Anforderungen, die aktuell KI-Systeme noch herausfordern.",0.1,0.2,5.5,7.8,7a48bdb1cc0a,100k–150k CHF
Immobilienbewirtschafter/in,3334,12.0,45.0,Immobilien,88000,Sekundär II,http://data.europa.eu/esco/occupation/dd935705-d703-40ba-9ba7-2a8a2b7651b4,Hausverwalter/Hausverwalterin,"Hausverwalter beaufsichtigen oder erbringen Dienstleistungen für Mieter bzw. Bewohner. Sie sind für Wohnungsbaugesellschaften oder private Einrichtungen tätig. Hausverwalter ziehen die Mieten ein, inspizieren Immobilien, kümmern sich um Reparaturen und Nachbarschaftsstreitigkeiten, stehen mit den Mietern in Verbindung, verwalten Wohnungsanträge und stehen in Kontakt mit den örtlichen Behörden und den Immobilienverwaltern. Sie beschäftigen, schulen und überwachen das Personal.",4.8,6.5,5.5,3.5,5.5,3.0,"Automatisierung von Mietinkasso, Wohnungsbewerbungsverarbeitung, Mietvertragserstellung, Schadensmeldungsverwaltung sowie KI-gestützte Kommunikation mit Mietern via Chatbots für Standardanfragen",3-5 Jahre,"In der Schweiz existieren bereits PropTech-Lösungen wie Fairwalter oder ImmoVision, die Routineaufgaben wie Mietzinsinkasso, Nebenkostenabrechnungen und Schadensmeldungen zunehmend automatisieren. Die starke Regulierung des Schweizer Mietmarkts (OR Art. 253ff., Mietzinsgestaltung, Bundesreglements) erfordert jedoch juristisches Fachwissen und Ermessensurteile, die KI kurzfristig nicht vollständig ersetzen kann. Die unverzichtbare physische Präsenz bei Wohnungsübergaben, Liegenschaftsinspektionen sowie die konfliktreiche Mieter-Vermieter-Kommunikation mit hohem Empathiebedarf schützen den Beruf vor vollständiger Automatisierung.",0.0,0.0,4.8,5.3,9f6d2193a75e,60k–100k CHF
Psychologe/-pädagogin,2634,12.0,72.0,Gesundheit,90000,Tertiär,http://data.europa.eu/esco/occupation/52ded7d7-11df-42e3-b90a-d7f4b70fb4b9,Psychologe/Psychologin,"Psychologen untersuchen das Verhalten und die mentalen Prozesse beim Menschen. Sie bieten Dienstleistungen für Kunden an, die unter psychischen Problemen und schwierigen Lebenssituationen leiden, z. B. Trauer um einen Verstorbenen, Beziehungsschwierigkeiten, häusliche Gewalt und sexueller Missbrauch. Sie bieten auch Beratung für psychische Erkrankungen wie Essstörungen, posttraumatische Belastungsstörungen und Psychosen an, um den Patienten zu helfen, sich zu erholen und ein gesundes Verhalten zu erlangen.",2.8,4.5,2.5,3.0,2.5,1.5,"Dokumentation, Diagnostik-Unterstützung (z.B. strukturierte Fragebögen auswerten), Psychoedukation und einfache Erstberatung via KI-Chatbots könnten teilweise automatisiert werden",>10 Jahre,"Der Kern psychologischer Arbeit – therapeutische Beziehung, Empathie und individuelles Fallverstehen – ist für KI kaum replizierbar und besonders in der Schweiz durch strenge Berufsgesetze (PsyG) reguliert. Zwar könnten Verwaltungsaufgaben, Diagnostik-Screening und psychoedukative Inhalte digitalisiert werden, doch bei komplexen Störungsbildern wie PTBS oder Psychosen bleibt menschliche Fachkompetenz unverzichtbar. Die hohe kulturelle und sprachliche Diversität der Schweiz (vier Landessprachen, starke Migrationsbevölkerung) erhöht zusätzlich den Bedarf an menschlicher, kontextsensitiver Begleitung.",-0.3,0.0,2.5,6.4,28686ecab3db,60k–100k CHF
Naturwissenschaftler/in (Biologie/Chemie),2113,12.0,45.0,Industrie,105000,Tertiär,http://data.europa.eu/esco/occupation/1b123879-8f0d-4793-8069-3dc21a08921a,Applikationsspezialist Chemie/Applikationsspezialistin Chemie,Applikationsspezialisten Chemie/Applikationsspezialistinnen Chemie entwickeln kundenspezifische chemische Erzeugnisse. Sie leiten die Entwicklung von Formulierungen und Formulierungsverfahren und die Bewertung der Effizienz und Leistung der Formulierungen.,4.8,6.5,5.0,3.5,3.5,4.0,"KI-gestützte Formulierungsoptimierung und Literatursynthese: Algorithmen können Rezepturvarianten systematisch screenen, Versuchspläne (DoE) automatisieren und Effizienzprognosen aus Datenbanken ableiten, was Teile der Entwicklungsarbeit beschleunigt oder ersetzt.",5-10 Jahre,"In der Schweizer Chemie- und Life-Sciences-Industrie (z.B. Clariant, Givaudan, Syngenta) werden KI-Tools für Moleküldesign und Formulierungsoptimierung bereits eingesetzt, ersetzen aber noch nicht das domänenspezifische Kundenwissen und die physische Labortätigkeit. Die stark kundenspezifische Natur der Arbeit sowie die Notwendigkeit physischer Experimente und Kundenbeziehungen schützen den Beruf mittelfristig. Langfristig dürften KI-Assistenzsysteme die Produktivität erhöhen und Routineaufgaben in der Formulierungsentwicklung automatisieren, ohne den Beruf vollständig zu verdrängen.",-0.1,0.2,4.9,7.2,6e74858216f5,100k–150k CHF
Automatiker/in EFZ,3115,12.0,5.0,Industrie,82000,Sekundär II,http://data.europa.eu/esco/occupation/5791a961-4717-4230-a245-a4082a675f04,automation engineering technician,"Techniker Automatisierungstechnik entwickeln in Zusammenarbeit mit Ingenieuren Anwendungen und Systeme für die Automatisierung von Produktionsprozessen. Techniker Automatisierungstechnik bauen, testen, überwachen und warten die computergesteuerten Systeme, die in automatisierten Produktionssystemen verwendet werden.",4.2,6.5,5.5,3.0,4.5,6.5,Diagnose und Fehlerbehebung von Automatisierungssystemen sowie Programmierung von SPS-Steuerungen könnten durch KI-gestützte Diagnosesysteme und automatische Code-Generierung teilweise übernommen werden,5-10 Jahre,"Automatiker EFZ arbeiten stark an physischen Anlagen in Industriebetrieben – ein zentrales Element der Schweizer Exportindustrie (MEM-Sektor) – was die KI-Exposition erheblich dämpft. Zwar können Diagnose, Programmierung und Überwachung zunehmend durch KI-Tools unterstützt werden, doch Installation, Inbetriebnahme und situative Problemlösung vor Ort bleiben schwer automatisierbar. Die Kombination aus handwerklichem Können, kontextgebundenem Urteilsvermögen und Zusammenarbeit mit Ingenieuren und Kunden schützt diesen Beruf mittelfristig vor vollständiger Substitution.",-0.1,0.0,4.1000000000000005,5.2,8c2a0cd2f71c,60k–100k CHF
Sicherheitsbeauftragter/-beauftragte,5414,12.0,15.0,Sicherheit,65000,Sekundär II,http://data.europa.eu/esco/occupation/c8ee6499-7613-4c02-9edf-2a0edcf47705,Sicherheitsbeauftragter Luftverkehr/Sicherheitsbeauftragte Luftverkehr,"Sicherheitsbeauftragte Luftverkehr planen und entwickeln Sicherheitsverfahren für Luftfahrtunternehmen. Sie kennen die für den Luftverkehr geltenden Sicherheitsvorschriften und Beschränkungen. Auf dieser Grundlage leiten sie das Personal an, um die vorschriftsgemäße Einhaltung der Sicherheitsmaßnahmen zu gewährleisten.",4.8,6.5,5.5,4.0,5.5,4.0,"Automatisierte Compliance-Prüfung, Dokumentenanalyse und Überwachung der Einhaltung von Sicherheitsvorschriften (z.B. EASA/BAZL-Regulatorik) durch KI-Systeme; regelbasierte Audit-Checklisten und Risikobewertungen könnten teilautomatisiert werden",5-10 Jahre,"In der Schweizer Luftfahrt unterliegen Sicherheitsbeauftragte strengen BAZL- und EASA-Vorschriften, deren Compliance-Überwachung zunehmend durch KI-gestützte RegTech-Tools unterstützt werden kann. Die Kerntätigkeit bleibt jedoch durch hohe Verantwortung, physische Vor-Ort-Präsenz bei Audits und die Notwendigkeit menschlicher Urteilskraft in Ausnahmesituationen weitgehend geschützt. Die sicherheitskritische Natur der Luftfahrt und regulatorische Anforderungen an menschliche Verantwortungsträger in der Schweiz verzögern eine vollständige Automatisierung erheblich.",0.0,0.0,4.8,4.8,2a0118a61546,60k–100k CHF
Zahnarzt/-ärztin,2261,12.0,48.0,Gesundheit,160000,Tertiär,http://data.europa.eu/esco/occupation/e52b5707-7097-4dbc-ac61-054e917da241,Zahnarzt/Zahnärztin,"Zahnärzte/Zahnärztinnen verhindern, diagnostizieren und behandeln Anomalien und Erkrankungen der Zähne, des Mundes, des Kiefers und der angrenzenden Gewebe.",3.2,5.5,4.5,1.5,4.0,2.5,"KI-gestützte Röntgen- und Bilddiagnostik (z.B. Karieserkennung, Panoramaaufnahmen), automatisierte Behandlungsplanung und administrative Dokumentation könnten teilweise automatisiert werden.",5-10 Jahre,"In der Schweiz sind Zahnarztpraxen zunehmend digitalisiert (digitale Abdrücke, CAD/CAM-Systeme), was KI-Unterstützung bei Diagnostik und Prothetikfertigung erleichtert. Die physische, manuelle Behandlung am Patienten sowie das Vertrauensverhältnis bleiben jedoch zentral und sind nicht automatisierbar. KI wird voraussichtlich als Assistenztechnologie eingesetzt, ohne den Zahnarzt zu ersetzen, da die handwerkliche Präzision und die Arzt-Patienten-Beziehung weiterhin menschliche Präsenz erfordern.",-0.3,0.4,3.3000000000000003,8.2,197276cd5dbe,> 150k CHF
